"Status","Name","Duration in ms","Description"
"passed","soap.calculator.CalculatorPositiveTests.addPositiveTest","430",""
"passed","soap.calculator.CalculatorPositiveTests.multiplyPositiveTest","353",""
"failed","soap.calculator.CalculatorPositiveTests.dividePositiveTest","353",""
"passed","soap.calculator.CalculatorPositiveTests.multiplyPositiveTest","353",""
"passed","soap.calculator.CalculatorPositiveTests.subtractPositiveTest","202",""
"passed","soap.calculator.CalculatorPositiveTests.subtractPositiveTest","352",""
"passed","soap.calculator.CalculatorPositiveTests.addPositiveTest","430",""
"passed","soap.calculator.CalculatorPositiveTests.addPositiveTest","352",""
